THRESHOLD,Total Accepted Forecasts,Positive,Negative,P Outcomes,N Outcomes,Best Base Vector,Occurrence Count
0.5,36,17,19,47.22,52.78,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",9
0.6,102,47,55,46.08,53.92,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",25
0.7,268,127,141,47.39,52.61,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",68
0.8,595,289,304,48.57,51.09,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",154
0.9,1187,583,600,49.12,50.55,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",296
1.0,2057,1013,1035,49.25,50.32,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",481
1.1,3415,1686,1716,49.37,50.25,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",739
1.2,5562,2749,2795,49.42,50.25,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",1105
1.3,8631,4209,4393,48.77,50.9,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",1556
1.4,12863,6304,6513,49.01,50.63,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",2028
1.5,18490,9063,9355,49.02,50.59,"[-0.48553848415727874, -0.6257227693397263, 0.35923542917652407, 0.05081274087009913, 0.8280806158224547]",2530
